Box#,product,brand,class,MODEL,SIZE ,Color,SKU,UNIT,date added,PICTURE,QTY,image,title
579,SHORTS,FS,SHORTS,CLASSIC,S,CREAM,SHORTSCLASSIC-CREAM-S,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2026/03/images.jpeg,CLASSIC cream
579,SHORTS,FS,SHORTS,CLASSIC,S,BKBU,SHORTSCLASSIC-BKBU-S,PAIR,25-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-SHORTS-RETRO-BLACK-BLUE.jpeg,CLASSIC black blue
579,SHORTS,FS,SHORTS,CLASSIC,XL,NAVY BLUE,SHORTSCLASSIC-NAVY BLUE-XL,PAIR,25-Mar,,7,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-3-2026-08_12_23-PM.jpg,CLASSIC navy blue
579,SHORTS,FS,SHORTS,CLASSIC,XL,BEIGE,SHORTSCLASSIC-BEIGE-XL,PAIR,24-Mar,,14,https://activebrands.co.il/wp-content/uploads/2026/03/shorts_63kb_final.jpg,CLASSIC beige
579,SHORTS,FS,SHORTS,IRON MAN,XL,GY,SHORTSIRON MAN-GY-XL,PAIR,24-Mar,,12,https://activebrands.co.il/wp-content/uploads/2026/03/IMG_7027-Copy.jpg,IRON MAN grey
579,SHORTS,FS,SHORTS,CLASSIC,XX,NAVY BLUE,SHORTSCLASSIC-NAVY BLUE-XX,PAIR,25-Mar,,9,,
579,SHORTS,FS,SHORTS,CLASSIC,XXXL,BK,SHORTSCLASSIC-BK-XXXL,PAIR,24-Mar,,6,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-SHORTS-CLASSIC-BLACK.webp,CLASSIC black
579,SHORTS,FS,SHORTS,CLASSIC,XXXL,BKBU,SHORTSCLASSIC-BKBU-XXXL,PAIR,25-Mar,,2,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-SHORTS-RETRO-BLACK-BLUE.jpeg,CLASSIC black blue
579,SHORTS,FS,SHORTS,CLASSIC,XXXL,CREAM,SHORTSCLASSIC-CREAM-XXXL,PAIR,24-Mar,,2,https://activebrands.co.il/wp-content/uploads/2026/03/images.jpeg,CLASSIC cream
579,SHORTS,FS,SHORTS,CLASSIC,XXXL,LIGHT BLUE,SHORTSCLASSIC-LIGHT BLUE-XXXL,PAIR,24-Mar,,0,,
579,SHORTS,FS,SHORTS,CLASSIC,XXXL,GN,SHORTSCLASSIC-GN-XXXL,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/02/IFS-SHORTS-GREEN.jpg,CLASSIC green
580,ANKL,FS,ANKLETS,CLASSIC,F,BU,ANKLCLASSIC-BU-F,PAIR,24-Mar,,2,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-ANKLE-BLUE.webp,INFIGHTSTYLE ANKLETS BLUE  מגן קרסול
580,ANKL,FS,ANKLETS,CLASSIC,F,RD,ANKLCLASSIC-RD-F,PAIR,24-Mar,,6,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-ANKLE-RED.webp,INFIGHTSTYLE ANKLETS RED  מגן קרסול
580,ANKL,FS,ANKLETS,CLASSIC,F,BK,ANKLCLASSIC-BK-F,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-ANKLE-BLACK.webp,INFIGHTSTYLE ANKLETS BLACK  מגן קרסול
580,SHORTS,FS,SHORTS,CLASSIC,XL,BK,SHORTSCLASSIC-BK-XL,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-SHORTS-CLASSIC-BLACK.webp,CLASSIC black
580,SHORTS,FS,SHORTS,CLASSIC,XL,BKBU,SHORTSCLASSIC-BKBU-XL,PAIR,25-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-SHORTS-RETRO-BLACK-BLUE.jpeg,CLASSIC black blue
580,SHORTS,FS,SHORTS,CLASSIC,XL,CREAM,SHORTSCLASSIC-CREAM-XL,PAIR,24-Mar,,3,https://activebrands.co.il/wp-content/uploads/2026/03/images.jpeg,CLASSIC cream
580,SHORTS,FS,SHORTS,CLASSIC,XL,LIGHT BLUE,SHORTSCLASSIC-LIGHT BLUE-XL,PAIR,24-Mar,,0,,
579,SHORTS,FS,SHORTS,CLASSIC,XL,GN,SHORTSCLASSIC-GN-XL,PAIR,24-Mar,,12,https://activebrands.co.il/wp-content/uploads/2025/02/IFS-SHORTS-GREEN.jpg,CLASSIC green
580,SHORTS,FS,SHORTS,CLASSIC,XXL,BK,SHORTSCLASSIC-BK-XXL,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/05/IFS-SHORTS-CLASSIC-BLACK.webp,CLASSIC black
580,SHORTS,FS,SHORTS,CLASSIC,XXL,NAVY BLUE,SHORTSCLASSIC-NAVY BLUE-XXL,PAIR,25-Mar,,6,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-3-2026-08_12_23-PM.jpg,CLASSIC navy blue
580,SHORTS,FS,SHORTS,CLASSIC,XXL,CREAM,SHORTSCLASSIC-CREAM-XXL,PAIR,24-Mar,,4,https://activebrands.co.il/wp-content/uploads/2026/03/images.jpeg,CLASSIC cream
580,SHORTS,FS,SHORTS,CLASSIC,XXL,BEIGE,SHORTSCLASSIC-BEIGE-XXL,PAIR,24-Mar,,6,https://activebrands.co.il/wp-content/uploads/2026/03/shorts_63kb_final.jpg,CLASSIC beige
579,SHORTS,FS,SHORTS,CLASSIC,XXL,GN,SHORTSCLASSIC-GN-XXL,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/02/IFS-SHORTS-GREEN.jpg,CLASSIC green
580,SHORTS,FS,SHORTS,IRON MAN,XXL,GY,SHORTSIRON MAN-GY-XXL,PAIR,24-Mar,,6,https://activebrands.co.il/wp-content/uploads/2026/03/IMG_7027-Copy.jpg,IRON MAN grey
580,SHORTS,FS,SHORTS,CLASSIC,XXL,LIGHT BLUE,SHORTSCLASSIC-LIGHT BLUE-XXL,PAIR,24-Mar,,0,,
580,SHORTS,FS,SHORTS,CLASSIC,XXXL,NAVY BLUE,SHORTSCLASSIC-NAVY BLUE-XXXL,PAIR,25-Mar,,4,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-3-2026-08_12_23-PM.jpg,CLASSIC navy blue
581,BG,FS,BOXING GLOVES,LACE,10,BK,BGLACE-BK-10,PAIR,24-Mar,,2,https://activebrands.co.il/wp-content/uploads/2025/08/IMG_7242_2400x_ed84a36c-b23c-47e0-90cf-de663f69bb00.webp,INFIGHTSTYLE LACE boxing gloves black
581,BG,FS,BOXING GLOVES,LACE,10,WH,BGLACE-WH-10,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/08/image_cc189a04-fc94-4570-a391-f2a26f681337.webp,INFIGHTSTYLE LACE boxing gloves white
581,BG,FS,BOXING GLOVES,LACE,12,BK,BGLACE-BK-12,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/08/IMG_7242_2400x_ed84a36c-b23c-47e0-90cf-de663f69bb00.webp,INFIGHTSTYLE LACE boxing gloves black
581,BG,FS,BOXING GLOVES,LACE,12,WH,BGLACE-WH-12,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/08/image_cc189a04-fc94-4570-a391-f2a26f681337.webp,INFIGHTSTYLE LACE boxing gloves white
582,BG,FS,BOXING GLOVES,LACE,14,BK,BGLACE-BK-14,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/08/IMG_7242_2400x_ed84a36c-b23c-47e0-90cf-de663f69bb00.webp,INFIGHTSTYLE LACE boxing gloves black
582,BG,FS,BOXING GLOVES,LACE,14,WH,BGLACE-WH-14,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/08/image_cc189a04-fc94-4570-a391-f2a26f681337.webp,INFIGHTSTYLE LACE boxing gloves white
583,BG,FS,BOXING GLOVES,LACE,16,BK,BGLACE-BK-16,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/08/IMG_7242_2400x_ed84a36c-b23c-47e0-90cf-de663f69bb00.webp,INFIGHTSTYLE LACE boxing gloves black
583,BG,FS,BOXING GLOVES,LACE,16,WH,BGLACE-WH-16,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/08/image_cc189a04-fc94-4570-a391-f2a26f681337.webp,INFIGHTSTYLE LACE boxing gloves white
590,SHIRTS,FS,SHIRTS,TANK,XS,GY,SHIRTSTANK-GY-XS,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_18_09-PM.jpg,CLASSIC grey
590,SHIRTS,FS,SHIRTS,TANK,S,GY,SHIRTSTANK-GY-S,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_18_09-PM.jpg,CLASSIC grey
590,SHIRTS,FS,SHIRTS,TANK,M,GY,SHIRTSTANK-GY-M,PAIR,24-Mar,,15,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_18_09-PM.jpg,CLASSIC grey
590,SHIRTS,FS,SHIRTS,TANK,L,GY,SHIRTSTANK-GY-L,PAIR,24-Mar,,15,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_18_09-PM.jpg,CLASSIC grey
590,SHIRTS,FS,SHIRTS,TANK,XL,GY,SHIRTSTANK-GY-XL,PAIR,24-Mar,,10,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_18_09-PM.jpg,CLASSIC grey
590,SHIRTS,FS,SHIRTS,TANK,XXL,GY,SHIRTSTANK-GY-XXL,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_18_09-PM.jpg,CLASSIC grey
590,SHIRTS,FS,SHIRTS,TANK,XS,WH,SHIRTSTANK-WH-XS,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_03_01-PM.jpg,CLASSIC white
590,SHIRTS,FS,SHIRTS,TANK,S,WH,SHIRTSTANK-WH-S,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_03_01-PM.jpg,CLASSIC white
590,SHIRTS,FS,SHIRTS,TANK,M,WH,SHIRTSTANK-WH-M,PAIR,24-Mar,,15,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_03_01-PM.jpg,CLASSIC white
590,SHIRTS,FS,SHIRTS,TANK,L,WH,SHIRTSTANK-WH-L,PAIR,24-Mar,,15,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_03_01-PM.jpg,CLASSIC white
590,SHIRTS,FS,SHIRTS,TANK,XL,WH,SHIRTSTANK-WH-XL,PAIR,24-Mar,,10,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_03_01-PM.jpg,CLASSIC white
590,SHIRTS,FS,SHIRTS,TANK,XXL,WH,SHIRTSTANK-WH-XXL,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_03_01-PM.jpg,CLASSIC white
590,SHIRTS,FS,SHIRTS,TANK,XS,PK,SHIRTSTANK-PK-XS,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_22_22-PM.jpg,CLASSIC pink
590,SHIRTS,FS,SHIRTS,TANK,S,PK,SHIRTSTANK-PK-S,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_22_22-PM.jpg,CLASSIC pink
590,SHIRTS,FS,SHIRTS,TANK,M,PK,SHIRTSTANK-PK-M,PAIR,24-Mar,,15,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_22_22-PM.jpg,CLASSIC pink
590,SHIRTS,FS,SHIRTS,TANK,L,PK,SHIRTSTANK-PK-L,PAIR,24-Mar,,15,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_22_22-PM.jpg,CLASSIC pink
590,SHIRTS,FS,SHIRTS,TANK,XL,PK,SHIRTSTANK-PK-XL,PAIR,24-Mar,,10,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_22_22-PM.jpg,CLASSIC pink
590,SHIRTS,FS,SHIRTS,TANK,XXL,PK,SHIRTSTANK-PK-XXL,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_22_22-PM.jpg,CLASSIC pink
590,SHIRTS,FS,SHIRTS,TANK,XS,PURPLE,SHIRTSTANK-PURPLE-XS,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210633_800x_79d06f18-ac18-4b6e-a4ca-dba23f830332.webp,CLASSIC purple
590,SHIRTS,FS,SHIRTS,TANK,S,PURPLE,SHIRTSTANK-PURPLE-S,PAIR,24-Mar,,11,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210633_800x_79d06f18-ac18-4b6e-a4ca-dba23f830332.webp,CLASSIC purple
590,SHIRTS,FS,SHIRTS,TANK,S,BK,SHIRTSTANK-BK-S,PAIR,24-Mar,,4,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210607_800x_7d3284be-e605-4ec9-95d4-513a931c2418.webp,CLASSIC black
590,SHIRTS,FS,SHIRTS,TANK,S,OLIVE,SHIRTSTANK-OLIVE-S,PAIR,24-Mar,,4,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_16_13-PM.jpg,CLASSIC olive
590,SHIRTS,FS,SHIRTS,TANK,XL,PURPLE,SHIRTSTANK-PURPLE-XL,PAIR,24-Mar,,21,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210633_800x_79d06f18-ac18-4b6e-a4ca-dba23f830332.webp,CLASSIC purple
590,SHIRTS,FS,SHIRTS,TANK,XL,BK,SHIRTSTANK-BK-XL,PAIR,24-Mar,,8,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210607_800x_7d3284be-e605-4ec9-95d4-513a931c2418.webp,CLASSIC black
590,SHIRTS,FS,SHIRTS,TANK,XL,OLIVE,SHIRTSTANK-OLIVE-XL,PAIR,24-Mar,,11,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_16_13-PM.jpg,CLASSIC olive
590,SHIRTS,FS,SHIRTS,TANK,XXL,PURPLE,SHIRTSTANK-PURPLE-XXL,PAIR,24-Mar,,12,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210633_800x_79d06f18-ac18-4b6e-a4ca-dba23f830332.webp,CLASSIC purple
590,SHIRTS,FS,SHIRTS,TANK,XXL,BK,SHIRTSTANK-BK-XXL,PAIR,24-Mar,,6,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210607_800x_7d3284be-e605-4ec9-95d4-513a931c2418.webp,CLASSIC black
590,SHIRTS,FS,SHIRTS,TANK,XXL,OLIVE,SHIRTSTANK-OLIVE-XXL,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_16_13-PM.jpg,CLASSIC olive
590,SHIRTS,FS,SHIRTS,TANK,L,PURPLE,SHIRTSTANK-PURPLE-L,PAIR,24-Mar,,31,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210633_800x_79d06f18-ac18-4b6e-a4ca-dba23f830332.webp,CLASSIC purple
591,SHIRTS,FS,SHIRTS,TANK,L,BK,SHIRTSTANK-BK-L,PAIR,24-Mar,,10,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210607_800x_7d3284be-e605-4ec9-95d4-513a931c2418.webp,CLASSIC black
591,SHIRTS,FS,SHIRTS,TANK,L,OLIVE,SHIRTSTANK-OLIVE-L,PAIR,24-Mar,,12,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_16_13-PM.jpg,CLASSIC olive
590,SHIRTS,FS,SHIRTS,TANK,M,PURPLE,SHIRTSTANK-PURPLE-M,PAIR,24-Mar,,13,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210633_800x_79d06f18-ac18-4b6e-a4ca-dba23f830332.webp,CLASSIC purple
591,SHIRTS,FS,SHIRTS,TANK,M,BK,SHIRTSTANK-BK-M,PAIR,24-Mar,,2,https://activebrands.co.il/wp-content/uploads/2025/08/PhotoRoom_20231107_210607_800x_7d3284be-e605-4ec9-95d4-513a931c2418.webp,CLASSIC black
591,SHIRTS,FS,SHIRTS,TANK,M,OLIVE,SHIRTSTANK-OLIVE-M,PAIR,24-Mar,,4,https://activebrands.co.il/wp-content/uploads/2026/03/ChatGPT-Image-Mar-2-2026-09_16_13-PM.jpg,CLASSIC olive
592,SG,FS,SHIN GUARD,PRO,S,POWDER PINK,SGPRO-POWDER PINK-S,PAIR,24-Mar,,0,,
592,SG,FS,SHIN GUARD,PRO,S,TEAL,SGPRO-TEAL-S,PAIR,24-Mar,,0,https://activebrands.co.il/wp-content/uploads/2025/08/IMG_7702_2400x.webp,INFIGHTSTYLE PRO teal
592,SG,FS,SHIN GUARD,PRO,S,BK,SGPRO-BK-S,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2025/08/image_945ff20f-a1a2-4c93-8073-f9e549e975a2_2400x.webp,INFIGHTSTYLE PRO black
592,SG,FS,SHIN GUARD,PRO,S,WH,SGPRO-WH-S,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2025/08/SHINGUARD_COVID_200616_0018_2400x.webp,INFIGHTSTYLE PRO white
592,SG,FS,SHIN GUARD,PRO,XL,POWDER PINK,SGPRO-POWDER PINK-XL,PAIR,24-Mar,,0,,
592,SG,FS,SHIN GUARD,PRO,XL,BK,SGPRO-BK-XL,PAIR,24-Mar,,1,https://activebrands.co.il/wp-content/uploads/2025/08/image_945ff20f-a1a2-4c93-8073-f9e549e975a2_2400x.webp,INFIGHTSTYLE PRO black
592,SG,FS,SHIN GUARD,PRO,XL,WH,SGPRO-WH-XL,PAIR,24-Mar,,2,https://activebrands.co.il/wp-content/uploads/2025/08/SHINGUARD_COVID_200616_0018_2400x.webp,INFIGHTSTYLE PRO white
592,SG,FS,SHIN GUARD,PRO,XL,TEAL,SGPRO-TEAL-XL,PAIR,24-Mar,,4,https://activebrands.co.il/wp-content/uploads/2025/08/IMG_7702_2400x.webp,INFIGHTSTYLE PRO teal
593,SG,FS,SHIN GUARD,PRO,M,WH,SGPRO-WH-M,PAIR,24-Mar,,5,https://activebrands.co.il/wp-content/uploads/2025/08/SHINGUARD_COVID_200616_0018_2400x.webp,INFIGHTSTYLE PRO white
593,SG,FS,SHIN GUARD,PRO,M,POWDER PINK,SGPRO-POWDER PINK-M,PAIR,24-Mar,,0,,
593,SG,FS,SHIN GUARD,PRO,M,BK,SGPRO-BK-M,PAIR,24-Mar,,7,https://activebrands.co.il/wp-content/uploads/2025/08/image_945ff20f-a1a2-4c93-8073-f9e549e975a2_2400x.webp,INFIGHTSTYLE PRO black
593,SG,FS,SHIN GUARD,PRO,M,TEAL,SGPRO-TEAL-M,PAIR,24-Mar,,16,https://activebrands.co.il/wp-content/uploads/2025/08/IMG_7702_2400x.webp,INFIGHTSTYLE PRO teal
594,SG,FS,SHIN GUARD,PRO,L,POWDER PINK,SGPRO-POWDER PINK-L,PAIR,24-Mar,,0,,
594,SG,FS,SHIN GUARD,PRO,L,BK,SGPRO-BK-L,PAIR,24-Mar,,4,https://activebrands.co.il/wp-content/uploads/2025/08/image_945ff20f-a1a2-4c93-8073-f9e549e975a2_2400x.webp,INFIGHTSTYLE PRO black
594,SG,FS,SHIN GUARD,PRO,L,WH,SGPRO-WH-L,PAIR,24-Mar,,17,https://activebrands.co.il/wp-content/uploads/2025/08/SHINGUARD_COVID_200616_0018_2400x.webp,INFIGHTSTYLE PRO white
594,SG,FS,SHIN GUARD,PRO,L,TEAL,SGPRO-TEAL-L,PAIR,24-Mar,,12,https://activebrands.co.il/wp-content/uploads/2025/08/IMG_7702_2400x.webp,INFIGHTSTYLE PRO teal
600,BG,OSO,BOXING GLOVES,OSO,12,BK,BGOSO-BK-12,PAIR,bc,,0,https://activebrands.co.il/wp-content/uploads-new/2021/11/IMG-20211114-WA0001-01.jpeg,כפפות איגרוף עור Boxing Gloves OSO black
602,BG,OSO,BOXING GLOVES,OSO,12,WH,BGOSO-WH-12,PAIR,bc,,0,https://activebrands.co.il/wp-content/uploads-new/2021/11/IMG_5061-01-01-scaled.jpeg,כפפות איגרוף עור Boxing Gloves OSO white
602,BG,OSO,BOXING GLOVES,OSO,14,BK,BGOSO-BK-14,PAIR,bc,,0,https://activebrands.co.il/wp-content/uploads-new/2021/11/IMG-20211114-WA0001-01.jpeg,כפפות איגרוף עור Boxing Gloves OSO black
